Domain,manually identified level,automatically identified level,verbs identified,sentence
SOLO,Relational,Extended Abstract,['evaluate'],Theoretically and experimentally evaluate different implementations of basic abstract data types;
Cognitive,Analysis,Analysing,"['analyse', 'determine']",Analyse the efficiency of algorithms by determining their best-case and worst-case big-O time complexity;
SOLO,Relational,Multistructural,"['analyse', 'determine']",Analyse the efficiency of algorithms by determining their best-case and worst-case big-O time complexity;
Cognitive,Analysis,Applying,"['work', 'analyse', 'write']",Work in teams to analyse algorithms and write programs.
SOLO,Relational,Unistructural,"['work', 'analyse', 'write']",Work in teams to analyse algorithms and write programs.
Cognitive,Evaluating,Applying,"['apply', 'orient', 'design', 'use']","Iteratively apply object-oriented design principles to design small to medium-size software systems, using standard software engineering notations, namely UML class diagrams and UML interaction diagrams."
Cognitive,Evaluating,Analysing,"['prove', 'analyse']","Prove correctness of programs, analyse their space and time complexities;"
Cognitive,Evaluating,Understanding,"['compare', 'contrast', 'use']",Compare and contrast various abstract data types and use them appropriately;
Affective,Organisation,Receiving,"['compare', 'contrast', 'use']",Compare and contrast various abstract data types and use them appropriately;
SOLO,Relational,,"['develop', 'implement', 'solve']",Develop and implement algorithms to solve computational problems.
Cognitive,evaluating,Understanding,"['identify', 'include', 'select', 'give', 'achieve', 'document']","Identify appropriate quality goals for a moderately-sized software development project, including human aspects and security concerns, select an appropriate quality assurance strategy to give confidence that these quality goals can be achieved, and document this strategy appropriately in the context of a software process model;"
Affective,Valuing,Receiving,"['identify', 'include', 'select', 'give', 'achieve', 'document']","Identify appropriate quality goals for a moderately-sized software development project, including human aspects and security concerns, select an appropriate quality assurance strategy to give confidence that these quality goals can be achieved, and document this strategy appropriately in the context of a software process model;"
Affective,Responding,Receiving,"['perform', 'use', 'base', 'base', 'utilise', 'automate', 'include']","Perform systematic, automated unit testing on source code modules, using both specification-based and code-based approaches, utilising automated testing frameworks, including faking and mocking tools;"
SOLO,Multistructural,Relational,"['perform', 'use', 'base', 'base', 'utilise', 'automate', 'include']","Perform systematic, automated unit testing on source code modules, using both specification-based and code-based approaches, utilising automated testing frameworks, including faking and mocking tools;"
Affective,Responding,Receiving,"['perform', 'use', 'trace']","Perform integration and system testing on a moderately-sized software system, using continuous integration frameworks and tracing tests back to requirements;"
SOLO,Multistructural,Relational,"['perform', 'use', 'trace']","Perform integration and system testing on a moderately-sized software system, using continuous integration frameworks and tracing tests back to requirements;"
Cognitive,Creating,Analysing,"['select', 'collect', 'include', 'analyse', 'make', 'base']","Select appropriate tools to collect metrics, including test coverage, reliability, and design quality metrics, to analyse the quality of a software development project, and make recommendations based on the results;"
Affective,Responding,Receiving,"['select', 'collect', 'include', 'analyse', 'make', 'base']","Select appropriate tools to collect metrics, including test coverage, reliability, and design quality metrics, to analyse the quality of a software development project, and make recommendations based on the results;"
SOLO,Relational,Multistructural,"['select', 'collect', 'include', 'analyse', 'make', 'base']","Select appropriate tools to collect metrics, including test coverage, reliability, and design quality metrics, to analyse the quality of a software development project, and make recommendations based on the results;"
Cognitive,Evaluating,Understanding,"['explain', 'analyse']",Explain and analyse key processor components;
Cognitive,Evaluating,Understanding,"['explain', 'analyse']",Explain and analyse computer organisation;
Cognitive,Evaluating,Applying,"['model', 'design', 'use']",Model and design flexible software at the architectural level using various tools and techniques from the requirements;
Affective,Organisation,Receiving,"['model', 'design', 'use']",Model and design flexible software at the architectural level using various tools and techniques from the requirements;
Cognitive,Evaluating,Analysing,"['analyse', 'design', 'refactor', 'take']","Analyse, design, and refactor software systems taking into consideration various quality attributes and requirements"
SOLO,Relational,,"['take', 'develop', 'follow', 'orient']",Take requirements for systems and develop software designs and architectures following object-oriented principles;
Affective,Valuing,Receiving,"['select', 'use', 'incremente']",Select and use appropriate tools for iteratively incrementing the design and architecture of the system;
Cognitive,Evaluating,Applying,"['evaluate', 'apply', 'design']","Evaluate and apply appropriate design patterns, frameworks and architectures in designing software;"
SOLO,Relational,Extended Abstract,"['evaluate', 'apply', 'design']","Evaluate and apply appropriate design patterns, frameworks and architectures in designing software;"
Affective,Responding,Receiving,"['describe', 'base', 'apply', 'achieve']",Describe industry-standard team-based project management methodologies and apply them across a multi-functional team to achieve optimal project progress
SOLO,Relational,Multistructural,"['apply', 'engage', 'determine']",Apply soft skills when engaging stakeholders in a consistent and professional manner to determine functional and non-functional requirements
SOLO,Extended abstract,Relational,"['plan', 'manage']",Plan and manage the full range of activities in a software engineering project in accordance with the development methodology
Cognitive,Evaluating,Understanding,"['compare', 'analyse', 'determine', 'require', 'support']",Compare and analyse appropriate industry-standard technologies to determine the optimal combination of software required to support project development
Affective,Organisation,Valuing,"['compare', 'analyse', 'determine', 'require', 'support']",Compare and analyse appropriate industry-standard technologies to determine the optimal combination of software required to support project development
Cognitive,Analysing,Understanding,"['deliberate', 'occur', 'identify', 'base']","Deliberate professional issues occurring within the development and deployment of software applications, and identify appropriate actions based on human factors, relevant law and industry codes of ethical behaviour."
Affective,Organisation,Receiving,"['deliberate', 'occur', 'identify', 'base']","Deliberate professional issues occurring within the development and deployment of software applications, and identify appropriate actions based on human factors, relevant law and industry codes of ethical behaviour."
Cognitive,Applying,Creating,['develop'],Develop a sound relational database design;
SOLO,None,,['develop'],Develop a sound relational database design;
SOLO,None,,"['implement', 'base']",Implement a relational database based on a sound database design;
Cognitive,Evaluating,,"['manage', 'meet', 'include']","Manage data that meets user requirements, including queries and transactions;"
Affective,Organisation,Receiving,"['manage', 'meet', 'include']","Manage data that meets user requirements, including queries and transactions;"
SOLO,Extended abstract,,['develop'],Develop programming structures within a database backend.
Cognitive,Analysing,Applying,"['analyse', 'apply']",Analyse critically and apply the ISO reference and Internet models;
SOLO,Relational,Extended Abstract,"['implement', 'evaluate', 'base']",Implement and evaluate system level designs based on LAN architecture for organisational requirements.
Cognitive,Evaluating,Creating,"['design', 'implement']",Design and implement a software system of a quality acceptable to an external client;
SOLO,Relational,Extended Abstract,"['design', 'implement']",Design and implement a software system of a quality acceptable to an external client;
Affective,Valuing,Receiving,"['select', 'use', 'manage', 'include']","Select and use appropriate tools, techniques and strategies to manage project resources, including time and personnel;"
SOLO,Multistructural,Relational,"['select', 'use', 'manage', 'include']","Select and use appropriate tools, techniques and strategies to manage project resources, including time and personnel;"
SOLO,Relational,Extended Abstract,"['identify', 'include', 'devise', 'adopt', 'monitor', 'mitigate']","Identify potential sources of risk, including ethical risk, and devise and adopt appropriate strategies to monitor and mitigate these risks;"
Cognitive,Evaluating,Applying,"['choose', 'follow', 'justify']","Choose and follow a software development methodology that is appropriate to the team, project and client, and justify this methodology;"
Affective,Responding,Receiving,"['choose', 'follow', 'justify']","Choose and follow a software development methodology that is appropriate to the team, project and client, and justify this methodology;"
SOLO,Relational,Extended Abstract,"['choose', 'follow', 'justify']","Choose and follow a software development methodology that is appropriate to the team, project and client, and justify this methodology;"
Cognitive,Analysing,,"['include', 'ensure', 'communicate']","Elicit functional and non-functional requirements, including human aspects requirements, from client representatives and ensure that these are communicated to team members and other stakeholders in an appropriate form"
SOLO,Relational,,"['include', 'ensure', 'communicate']","Elicit functional and non-functional requirements, including human aspects requirements, from client representatives and ensure that these are communicated to team members and other stakeholders in an appropriate form"
Cognitive,Creating,Evaluating,"['produce', 'support', 'include', 'address']","Produce internal documentation of a sufficient quality to support project development activities (including specification, analysis, design, testing) and address relevant security and other risks"
Cognitive,Applying,,"['communicate', 'include']","Communicate effectively with a diverse range of project stakeholders, including clients, end users, and supervisors"
SOLO,Multistructural,,"['communicate', 'include']","Communicate effectively with a diverse range of project stakeholders, including clients, end users, and supervisors"
Cognitive,Evaluating,,"['verify', 'meet', 'agree']","Verify systematically that internal and external project deliverables meet agreed quality standards, such as functionality, security and usability"
Cognitive,Evaluating,Analysing,"['research', 'evaluate']",Research relevant and reliable literature to evaluate the state of the field.
Cognitive,Evaluating,Analysing,"['analyse', 'evaluate']",Analyse a problem and evaluate the potential of a solution or experiment.
SOLO,Extended abstract ,Relational,"['analyse', 'evaluate']",Analyse a problem and evaluate the potential of a solution or experiment.
Cognitive,Evaluating,Applying,"['appraise', 'investigate', 'use']",Appraise a complex engineering problem and investigate it using appropriate research methods and techniques.
Affective,Organisation,Receiving,"['appraise', 'investigate', 'use']",Appraise a complex engineering problem and investigate it using appropriate research methods and techniques.
SOLO,Extended abstract ,Relational,"['appraise', 'investigate', 'use']",Appraise a complex engineering problem and investigate it using appropriate research methods and techniques.
Cognitive,Analysing,Applying,"['integrate', 'solve']",Integrate foundational and discipline-specific knowledge to solve complex open-ended problems.
Affective,Organisation,Characterisation,"['integrate', 'solve']",Integrate foundational and discipline-specific knowledge to solve complex open-ended problems.
Cognitive,Creating,Applying,"['plan', 'respond', 'change']","Plan the scope and requirements of a research project or experiment, responding to changing requirements and potential interdisciplinary inputs."
Affective,Organisation,Responding,"['plan', 'respond', 'change']","Plan the scope and requirements of a research project or experiment, responding to changing requirements and potential interdisciplinary inputs."
Cognitive,Creating,Applying,"['generate', 'apply']","Generate research and technical outputs by applying appropriate techniques, resources and modern engineering tools to a complex open-ended engineering problem."
SOLO,Extended abstract,Relational,"['generate', 'apply']","Generate research and technical outputs by applying appropriate techniques, resources and modern engineering tools to a complex open-ended engineering problem."
Affective,Responding,Valuing,"['demonstrate', 'guide', 'include']","Demonstrate consideration of the ethics and norms which guide engineering practice, including professionalism, innovation and creativity."
Cognitive,Creating,,"['synthesise', 'include']",Synthesise the progress and outputs of your project through professional engineering reports and presentations to a range of audiences including the community and industry.
Affective,Organisation,,"['synthesise', 'include']",Synthesise the progress and outputs of your project through professional engineering reports and presentations to a range of audiences including the community and industry.
SOLO,Extended abstract,Relational,"['engage', 'achieve', 'use', 'base']","Engage with project collaborators to achieve research outcomes using effective self and/or team management, review and improvement practices. (Applicable to the Clayton-based course)"
Cognitive,Creating,Understanding,"['identify', 'explain']",identify and explain big data concepts and technologies;
SOLO,Relational,Unistructural,"['write', 'interpret']",write and interpret parallel database processing algorithms and methods;
Cognitive,Evaluating,Applying,"['use', 'evaluate']",use and evaluate streaming methods in big data processing;
SOLO,Extended abstract,Relational,"['use', 'evaluate']",use and evaluate streaming methods in big data processing;
Cognitive,Appplying,Applying,"['use', 'stream']",use big data streaming technologies.
Affective,Recieving,Receiving,"['use', 'stream']",use big data streaming technologies.
Affective,Characterisation,Valuing,"['engage', 'demonstrate', 'act']",be responsible and effective global citizens who engage in an internationalised world by being able to demonstrate cross cultural competencies and empathy whilst acting ethically and sustainably
Affective,Valuing,Characterisation,"['demonstrate', 'drive', 'include', 'limit', 'serve']","demonstrate broad knowledge and technical capabilities driven by an entrepreneurial mindset across a variety of domains including but not limited to the business, professional and public policy communities that we serve"
Affective,Valuing,Organisation,"['understand', 'test', 'relate']",understand and be able to test critical issues relating to problem-solution fit
Affective,Responding,Valuing,"['develop', 'manage', 'work', 'start']",develop and manage effective ways of working in a start-up team.
Affective,Characterisation,Organisation,"['consider', 'create', 'challenge', 'integrate', 'accommodate', 'differ']","be an empathetic and global citizen who considers and creates value that is holistic and ethical, by challenging, integrating and accommodating differing world views"
Affective,Organisation,,['reflect'],"Reflect on teamwork, project management, leadership and conflict resolution in the context of group projects and activities."
Affective,Recieving,Receiving,['describe'],"describe the concepts of EIA, ERA and EMS"
Affective,Organisation,,['determine'],"determine the role of these assessments and management systems in society, especially the relevant environmental legislation, policies, codes of practice and local/international standards"
Affective,Valuing,,['comprehend'],"comprehend the government, industry and community perspectives on engineering projects"
Affective,Valuing,,['assess'],"
assess various types of environmental impact assessment, risk evaluation and environmental management system methodologies"
Affective,Responding,Organisation,"['prepare', 'present', 'base', 'derive']",prepare and present a group project based on the knowledge derived in EIA/ERA and EMS.
Affective,Recieving,Receiving,['describe'],Describe the overall architecture of an autonomous vehicle (AV) system.
Affective,Responding,Organisation,"['apply', 'learn', 'design']","
Apply learned concepts to design algorithms for different functionalities of the AV system, such as localisation, perception, planning and control."
Affective,Responding,Valuing,"['integrate', 'evaluate', 'include']",Integrate and evaluate the AV system including testing and validation of algorithms and decision-making of the system.
Affective,Organisation,,"['apply', 'include']",Apply project evaluation techniques including the triple bottom line against the overall business model.
Affective,Valuing,Organisation,"['evaluate', 'apply', 'plan', 'organise', 'manage']","Evaluate and apply the basic tools and techniques to plan, organise and manage a project."
Affective,Recieving,Organisation,"['identify', 'manage']","Identify strategic constraints in managing the scope, time, cost and quality components."
Affective,Valuing,Responding,['discuss'],"Discuss professional responsibility, occupational health and safety and ethical conduct."
Affective,Responding,Receiving,"['describe', 'underlie']",Describe the purpose of enterprise architectures and the underlying principles of their design;
Affective,Recieving,Receiving,['describe'],"Describe into the need for sound data, information and technology governance strategies;"
Affective,Responding,Receiving,"['describe', 'involve', 'include']","
Describe the steps involved in various manufacturing processes for production at scale, including their strengths and limitations."
Affective,Responding,Receiving,"['select', 'balance']","
Select appropriate part manufacturing processes while balancing functional requirements, performance, cost and sustainability."
Affective,Responding,Receiving,"['identify', 'carry', 'conduct', 'reflect']","
Identify and carry out the necessary steps to conduct a small-scale production run and then reflect on the outcomes."
Affective,Valuing,Receiving,"['evaluate', 'use']","
Evaluate the functionality and performance of these programs using software development tools."
Affective,Responding,Characterisation,"['describe', 'solve']","
Describe the operation of computer arithmetic, assemblers and compilers, a RISC processor datapath and solve related problems."
Affective,Characterisation,Receiving,"['solve', 'design', 'use']","Solve real-world engineering problems by designing ladder logic diagrams for programmable logic controllers (PLC) using components such as normally open contacts, normally closed contacts, relays, timers and counters."
Affective,Valuing,Receiving,"['evaluate', 'identify', 'give']","
Evaluate the various NDT methods for flaw detection and damage assessment and be able to identify the appropriate technique for a given scenario."
Affective,Responding,Valuing,"['operate', 'evaluate']",Operate bioreactor and evaluate the performance of cell growth under different operating conditions.
Affective,Organisation,Receiving,"['simulate', 'use', 'design', 'base', 'extract']","
Simulate cameras using projective and multi-view geometry to design model-based vision systems and algorithms that extract 3D and rotational information from images, alongside methods for image registration and stitching."
Affective,Responding,Receiving,"['demonstrate', 'use']","
Demonstrate the development, training and deployment of computer vision algorithms using a high-level programming language."
Affective,Responding,Receiving,"['identify', 'exploit']","
Identify the limits of human visual and aural perception, and how they can be exploited for bit rate reduction."
Affective,Responding,Receiving,"['describe', 'exploit']","
Describe the structure of modern multimedia compression systems, and how they exploit the characteristics of both the media itself and human consumers of the media."
Affective,Organisation,Valuing,"['compute', 'support', 'relate']","Compute the end-to-end delay performance of modern Internet protocols supporting media streaming, and relate this to service requirements for on-demand and communicative multimedia services."
Affective,Responding,Receiving,['describe'],"
Describe concepts and fundamentals of deep learning, such as the backpropagation algorithm and adversarial learning."
Affective,Responding,Receiving,"['demonstrate', 'use']","
Demonstrate the training and deployment of neural networks using a high level programming language."
Affective,Responding,Receiving,"['appraise', 'choose']","
Appraise critically the sources of information and contents of scientific publications and choose relevant information."
Affective,Responding,Receiving,"['select', 'develop', 'base', 'evaluate']","
Select suitable electronic components and develop simple MEMS or Organic electronic device based systems, evaluate structural and material properties of Micro/Nano devices through simulation studies"
Affective,Valuing,Organisation,"['summarise', 'propose', 'design']","
Summarise fundamentals of nanotechnology and propose research opportunities in designing Micro technologies"
Affective,Organisation,Receiving,"['design', 'implement', 'solve', 'give', 'use']","
Design and implement a system to solve a given complex engineering problem in the field of Intelligent lighting control using the knowledge of SSL."
